Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),ST,Gender-Neutral,44
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,45
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,45
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Female-only (including Supernumerary),46
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,47
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OPEN (PwD),Gender-Neutral,47
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,47
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,48
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,49
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,50
Indian Institute of Technology Delhi,Abu Dhabi Campus - Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,52
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),53
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,54
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,54
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,54
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,55
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,56
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,57
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,58
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,58
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,59
