Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),171
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,172
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,175
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,176
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,178
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,179
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,179
Indian Institute of Technology Hyderabad,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,181
Indian Institute of Technology Bhilai,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,182
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,183
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,184
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,184
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),EWS,Gender-Neutral,185
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Gender-Neutral,186
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,186
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,188
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Female-only (including Supernumerary),191
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,191
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),192
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,192
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,193
Indian Institute of Technology Delhi,Chemical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN (PwD),Gender-Neutral,196
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,197
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),198
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,202
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,204
Indian Institute of Technology (BHU) Varanasi,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,205
Indian Institute of Technology Patna,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,206
Indian Institute of Technology Indore,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,208
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,208
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,209
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,209
Indian Institute of Technology Delhi,Materials Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,210
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,211
Indian Institute of Technology (ISM) Dhanbad,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,215
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,216
Indian Institute of Technology Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN (PwD),Gender-Neutral,217
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,219
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),EWS,Gender-Neutral,222
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),ST,Gender-Neutral,222
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,222
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,225
Indian Institute of Technology Madras,Engineering Physics (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,227
Indian Institute of Technology Tirupati,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,228
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),231
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,231
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),EWS,Gender-Neutral,232
Indian Institute of Technology Ropar,Artificial Intelligence and Data Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,232
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,234
Indian Institute of Technology Bhilai,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,234
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),236
Indian Institute of Technology Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,238
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),ST,Gender-Neutral,238
Indian Institute of Technology Kanpur,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,240
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),241
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),242
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),EWS,Gender-Neutral,243
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),ST,Gender-Neutral,244
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,244
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,246
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Female-only (including Supernumerary),248
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,249
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Female-only (including Supernumerary),250
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,250
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),253
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),255
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,257
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,257
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),258
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),EWS,Gender-Neutral,259
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),260
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,261
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),EWS,Gender-Neutral,264
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,265
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),ST,Gender-Neutral,266
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),270
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,270
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),EWS,Gender-Neutral,270
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,277
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,281
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,282
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),283
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,283
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,284
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,284
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,287
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),ST,Gender-Neutral,289
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,290
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,290
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),EWS,Gender-Neutral,290
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,291
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,292
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),292
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,293
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,293
Indian Institute of Technology Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,295
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-only (including Supernumerary),296
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),301
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,301
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,303
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,304
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),306
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),310
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,310
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,312
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Gender-Neutral,316
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Gender-Neutral,317
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),SC,Gender-Neutral,318
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),EWS,Gender-Neutral,320
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,324
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,325
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,325
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,325
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),326
Indian Institute of Technology Madras,Physics (4 Years Bachelor of Science),SC,Gender-Neutral,326
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,330
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),331
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,333
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,335
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),ST,Gender-Neutral,336
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,341
Indian Institute of Technology Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,341
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,341
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),342
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,343
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),345
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),348
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,349
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,350
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,351
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,352
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Gender-Neutral,353
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),ST,Gender-Neutral,355
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),357
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),359
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),360
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,363
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),367
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,370
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,371
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,373
Indian Institute of Technology Madras,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,374
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,375
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,375
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,378
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),378
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),387
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,388
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),389
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),389
Indian Institute of Technology Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),390
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),392
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,393
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),393
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,393
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),396
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),396
Indian Institute of Technology Bombay,BS in Mathematics (4 Years Bachelor of Science),EWS,Gender-Neutral,397
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,398
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,398
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,404
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),404
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,409
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),SC,Gender-Neutral,413
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),ST,Gender-Neutral,415
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,415
Indian Institute of Technology Madras,Aerospace Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),417
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,418
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),419
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,420
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,420
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,422
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,426
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),SC,Gender-Neutral,427
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,427
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,437
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,439
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),SC,Gender-Neutral,441
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Female-only (including Supernumerary),443
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),443
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,445
Indian Institute of Technology Ropar,Artificial Intelligence and Data Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,445
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),448
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,450
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Female-only (including Supernumerary),454
Indian Institute of Technology Roorkee,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,455
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),SC,Gender-Neutral,458
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,460
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,460
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Gender-Neutral,462
Indian Institute of Technology Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,463
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),465
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),465
Indian Institute of Technology Kanpur,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,467
Indian Institute of Technology Mandi,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,468
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,469
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),470
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,471
Indian Institute of Technology Delhi,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,472
Indian Institute of Technology Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Gender-Neutral,473
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),SC,Gender-Neutral,474
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),474
Indian Institute of Technology Bombay,Engineering Physics (4 Years Bachelor of Technology),EWS,Gender-Neutral,475
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),EWS,Female-only (including Supernumerary),476
Indian Institute of Technology Madras,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,478
Indian Institute of Technology (BHU) Varanasi,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,480
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,481
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),ST,Female-only (including Supernumerary),481
Indian Institute of Technology Bombay,Energy Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,488
Indian Institute of Technology Delhi,Abu Dhabi Campus - Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,488
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),490
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),491
Indian Institute of Technology Indore,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,492
Indian Institute of Technology Bombay,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,493
Indian Institute of Technology Madras,Engineering Physics (4 Years Bachelor of Technology),EWS,Gender-Neutral,494
Indian Institute of Technology Goa,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,494
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,494
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,495
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,496
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),497
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-only (including Supernumerary),498
Indian Institute of Technology Palakkad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,498
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),499
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),500
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),501
Indian Institute of Technology Hyderabad,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,501
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,503
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),505
Indian Institute of Technology Kanpur,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,508
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),508
Indian Institute of Technology (BHU) Varanasi,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,510
Indian Institute of Technology Ropar,Artificial Intelligence and Data Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),514
Indian Institute of Technology Ropar,Artificial Intelligence and Data Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,516
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),522
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,525
Indian Institute of Technology (ISM) Dhanbad,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,525
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),527
Indian Institute of Technology Roorkee,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,528
Indian Institute of Technology Delhi,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,530
